ds,order,intention,flow,retail,wholesale
2015-01-01,200958,1021692,831063,183672,159075
2015-02-01,122625,599632,449770,118195,112150
2015-03-01,141905,986347,783911,117679,144638
2015-04-01,145747,955055,759263,117730,105775
2015-05-01,155725,967481,782045,118031,120261
2015-06-01,160176,905747,724361,131677,136377
2015-07-01,138102,898071,727645,107566,91144
2015-08-01,149610,955596,804292,119974,124808
2015-09-01,180519,994862,802153,145086,151735
2015-10-01,194439,1037886,834723,156926,156510
2015-11-01,196507,979418,815930,165174,179529
2015-12-01,222361,1074244,892019,182964,211277
2016-01-01,216043,896054,715599,201310,129148
2016-02-01,98428,643540,486571,100983,70023
2016-03-01,141166,946959,741367,112237,104052
2016-04-01,167451,967140,739090,139879,90833
2016-05-01,178165,958569,745309,146462,103845
2016-06-01,156527,884366,695201,130110,102629
2016-07-01,153039,919494,739223,126197,90947
2016-08-01,173809,1001335,781058,141317,103364
2016-09-01,208253,1095893,816663,171275,113641
2016-10-01,198278,1075447,837109,166556,118804
2016-11-01,208123,1081132,911634,172644,126490
2016-12-01,251106,1081621,972535,184910,129364
2017-01-01,119491,457410,559762,159290,125398
2017-02-01,98698,578240,678166,83623,76401
2017-03-01,167738,720934,836393,133241,98576
2017-04-01,157005,726490,860588,127483,102073
2017-05-01,185750,734828,868985,144117,99812
2017-06-01,178408,679712,822230,146074,106361
2017-07-01,172012,703428,857102,141366,95985
2017-08-01,198639,787067,922024,162663,114378
2017-09-01,213485,852888,965501,187377,122008
2017-10-01,206079,852978,979713,183499,121787
2017-11-01,226087,882538,1019120,188729,135431
2017-12-01,288956,935361,1129419,215546,68556
2018-01-01,182755,746994,896927,184752,26000
2018-02-01,123251,484865,582380,111080,18000
2018-03-01,175164,814691,1014571,155106,19000
2018-04-01,162775,694967,906072,148995,18017
2018-05-01,165620,676157,907633,135489,17308
2018-06-01,157982,664681,896582,121303,14000
2018-07-01,150108,706730,908673,119262,14300
2018-08-01,170867,784268,961124,139452,16000
2018-09-01,187697,860487,1008023,153232,20007
2018-10-01,172745,847643,986060,135518,23009
2018-11-01,179478,825937,964011,146163,21009
2018-12-01,230483,951734,1080071,175597,21347
2019-01-01,30871,169769,184100,21125,2940
