,year,month,days,y,y_joint,y_independent,y_luxury,y_joint_percent,y_independent_percent,y_luxury_percent,work_days,festival_day_percent,order,intention,flow,retail,wholesale
2014/1/1,2014,1,31,2167589,1281845,716817,168927,0.591369028,0.33069784,0.077933132,22,0.258064516,0,0,0,0,0
2014/2/1,2014,2,28,803648,490241,239697,73710,0.610019561,0.298261179,0.09171926,17,0.464285714,0,0,0,0,0
2014/3/1,2014,3,31,1359944,870761,345412,143771,0.640291806,0.25398987,0.105718324,21,0,0,0,0,0,0
2014/4/1,2014,4,30,1455110,936349,370249,148512,0.643490183,0.25444743,0.102062387,21,0,0,0,0,0,0
2014/5/1,2014,5,31,1481658,942288,389955,149415,0.635968624,0.263188266,0.10084311,21,0,0,0,0,0,0
2014/6/1,2014,6,30,1267996,793111,341415,133470,0.625483834,0.269255581,0.105260584,20,0,0,0,0,0,0
2014/7/1,2014,7,31,1423375,892332,383907,147136,0.626912795,0.269715992,0.103371213,23,0,0,0,0,0,0
2014/8/1,2014,8,31,1386886,872787,383231,130868,0.629314161,0.276324802,0.094361036,21,0,0,0,0,0,0
2014/9/1,2014,9,30,1683053,1033497,485011,164545,0.614060876,0.288173337,0.097765786,22,0,0,0,0,0,0
2014/10/1,2014,10,31,1577768,942291,496825,138652,0.597230391,0.314891036,0.087878573,19,0,0,0,0,0,0
2014/11/1,2014,11,30,1611526,934233,526671,150622,0.579719471,0.326815081,0.093465448,20,0,0,0,0,0,0
2014/12/1,2014,12,31,2124257,1217475,714813,191969,0.573129805,0.336500245,0.090369951,23,0,0,0,0,0,0
2015/1/1,2015,1,31,2210899,1240163,797484,173252,0.560931549,0.360705758,0.078362693,21,0,200958,1021692,831063,183672,159075
2015/2/1,2015,2,28,1566743,842135,600480,124128,0.53750679,0.383266432,0.079226778,17,0.75,122625,599632,449770,118195,112150
2015/3/1,2015,3,31,1309819,762103,414099,133617,0.581838407,0.316149789,0.102011805,22,0,141905,986347,783911,117679,144638
2015/4/1,2015,4,30,1447604,867778,424348,155478,0.599458139,0.293138179,0.107403682,21,0,145747,955055,759263,117730,105775
2015/5/1,2015,5,31,1478708,895840,428131,154737,0.605826167,0.289530455,0.104643378,20,0,155725,967481,782045,118031,120261
2015/6/1,2015,6,30,1329753,798724,389126,141903,0.600655911,0.292630285,0.106713803,21,0,160176,905747,724361,131677,136377
2015/7/1,2015,7,31,1452335,866640,430985,154710,0.596721831,0.29675316,0.10652501,23,0,138102,898071,727645,107566,91144
2015/8/1,2015,8,31,1499752,885566,454342,159844,0.590474959,0.302944754,0.106580288,21,0,149610,955596,804292,119974,124808
2015/9/1,2015,9,30,1739861,993877,564745,181239,0.571239312,0.324592022,0.104168666,22,0,180519,994862,802153,145086,151735
2015/10/1,2015,10,31,1781245,1002975,619837,158433,0.563075265,0.347979643,0.088945092,18,0,194439,1037886,834723,156926,156510
2015/11/1,2015,11,30,1869348,1030303,667872,171173,0.551156339,0.357275371,0.09156829,21,0,196507,979418,815930,165174,179529
2015/12/1,2015,12,31,2633938,1429434,978060,226444,0.542698423,0.371329925,0.085971652,23,0,222361,1074244,892019,182964,211277
2016/1/1,2016,1,31,2557834,1380685,968939,208210,0.539786788,0.378812308,0.081400904,20,0.032258065,216043,896054,715599,201310,129148
2016/2/1,2016,2,29,1205166,615358,493086,96722,0.510600199,0.409143637,0.080256164,18,0.689655172,98428,643540,486571,100983,70023
2016/3/1,2016,3,31,1668107,950178,541787,176142,0.569614539,0.324791515,0.105593946,23,0,141166,946959,741367,112237,104052
2016/4/1,2016,4,30,1569862,903523,501240,165099,0.575542946,0.319289211,0.105167843,21,0,167451,967140,739090,139879,90833
2016/5/1,2016,5,31,1725559,987483,564351,173725,0.572268465,0.327054016,0.10067752,21,0,178165,958569,745309,146462,103845
2016/6/1,2016,6,30,1609867,901892,526511,181464,0.560227646,0.327052483,0.112719871,21,0,156527,884366,695201,130110,102629
2016/7/1,2016,7,31,1724287,966227,580339,177721,0.560363211,0.33656752,0.103069269,21,0,153039,919494,739223,126197,90947
2016/8/1,2016,8,31,1933769,1063741,673077,196951,0.550086903,0.348064841,0.101848256,23,0,173809,1001335,781058,141317,103364
2016/9/1,2016,9,30,2179136,1172910,794926,211300,0.538245433,0.364789531,0.096965036,21,0,208253,1095893,816663,171275,113641
2016/10/1,2016,10,31,2045144,1076289,789274,179581,0.526265632,0.385925881,0.087808487,18,0,198278,1075447,837109,166556,118804
2016/11/1,2016,11,30,2384318,1235820,936490,212008,0.518311735,0.392770595,0.08891767,22,0,208123,1081132,911634,172644,126490
2016/12/1,2016,12,31,3338189,1659830,1428409,249950,0.497224693,0.427899379,0.074875928,22,0,251106,1081621,972535,184910,129364
2017/1/1,2017,1,31,1966711,898323,845845,222543,0.45676411,0.430080983,0.113154907,18,0.387096774,119491,457410,559762,159290,125398
2017/2/1,2017,2,28,1134975,563013,443457,128505,0.496057622,0.390719619,0.113222758,20,0.321428571,98698,578240,678166,83623,76401
2017/3/1,2017,3,31,1723977,905394,609270,209313,0.52517754,0.353409587,0.121412873,23,0,167738,720934,836393,133241,98576
2017/4/1,2017,4,30,1643754,869516,584677,189561,0.528981831,0.355696169,0.115322001,18,0,157005,726490,860588,127483,102073
2017/5/1,2017,5,31,1784364,944284,633930,206150,0.529199199,0.355269441,0.11553136,21,0,185750,734828,868985,144117,99812
2017/6/1,2017,6,30,1745064,932624,603343,209097,0.534435413,0.34574262,0.119821966,22,0,178408,679712,822230,146074,106361
