ds,work_days
2014-01-01,22
2014-02-01,17
2014-03-01,21
2014-04-01,21
2014-05-01,21
2014-06-01,20
2014-07-01,23
2014-08-01,21
2014-09-01,22
2014-10-01,19
2014-11-01,20
2014-12-01,23
2015-01-01,21
2015-02-01,17
2015-03-01,22
2015-04-01,21
2015-05-01,20
2015-06-01,21
2015-07-01,23
2015-08-01,21
2015-09-01,22
2015-10-01,18
2015-11-01,21
2015-12-01,23
2016-01-01,20
2016-02-01,18
2016-03-01,23
2016-04-01,21
2016-05-01,21
2016-06-01,21
2016-07-01,21
2016-08-01,23
2016-09-01,21
2016-10-01,18
2016-11-01,22
2016-12-01,22
2017-01-01,18
2017-02-01,20
2017-03-01,23
2017-04-01,18
2017-05-01,21
2017-06-01,22
2017-07-01,21
2017-08-01,23
2017-09-01,22
2017-10-01,17
2017-11-01,22
2017-12-01,21
2018-01-01,22
2018-02-01,15
2018-03-01,22
2018-04-01,20
2018-05-01,22
2018-06-01,20
2018-07-01,22
2018-08-01,23
2018-09-01,21
2018-10-01,18
2018-11-01,22
2018-12-01,22
2019-01-01,22
